Fecha de venta,Ciudad,Producto,Precio unitario,Cantidad,Monto total,Cliente,Email,ID de orden
"Oct 03, 2024",Monterrey  ,Auriculares-Con cable-32GB,439.01,5,2195.05,Sandra B√°ez,maria-teresamanzanares@jaquez.com,d7c9e19e-1228-4326-8b2a-cde42e222a67
10/15/2024,Bogotá,Auriculares-Bluetooth-8GB,1090.69,1,1090.69,Mariano Leticia Palomino,brunoflorez@hotmail.com,c1103728-e36d-48da-ba95-42c7fc1ccca5
27/10/2024,Bogotá,Laptop-Gaming-32GB,1174.54,2,2349.08,Gregorio Gayt√°n,maytezedillo@grupo.com,1fd52e4f-ce34-4747-8dc7-fa4b9fe57dc4
"Nov 02, 2024",Medellín,Tablet-Pro-8GB,1291.38,4,5165.52,Alejandra Araceli Guti√©rrez,jtovar@trujillo-orellana.com,0ada26be-f753-405b-a1a4-3599df81e700
28/11/2024,Medellín,Teléfono-Gama alta-4GB,1450.89,1,1450.89,Miguel √Ångel Mondrag√≥n Benav√≠dez,bmontanez@yahoo.com,9300cdf6-1250-4659-917a-93641a266da5
11/05/2024,Cali,Teléfono-Gama alta-8GB,670.67,4,2682.68,Gabino Conchita Bueno,wvega@yahoo.com,c46fe29a-c3e5-4c00-b9ea-94b719c84734
"Dec 01, 2024",  Guadalajara,Tablet-Mini-4GB,1114.1,3,3342.3,Karla Pineda Arriaga,acabrera@yahoo.com,35bff7d1-834a-47b1-8627-e9ce0847bae9
12/10/2024,Ciudad de M√©xico,Tablet-Pro-8GB,1001.63,3,3004.89,Dr. Rolando Mares,mercadohilda@gmail.com,5199a25e-ee56-4e1f-9c71-21f24998e8fc
15/12/2024,Cali,Laptop-Ultraliviana-16GB,181.56,4,726.24,Virginia Mondrag√≥n,josefina68@proyectos.com,e58774cc-8183-4c21-b23d-1089685c61dd
23/12/2024,GUADALAJARA,Tablet-Mini-4GB,964.35,5,4821.75,Luis Manuel Aldonza Contreras,castilloteodoro@yahoo.com,4e85609f-8a23-4d99-a616-2f83279d0dc0
"Oct 09, 2024",Bogotá,Auriculares-Bluetooth-16GB,120.46,1,120.46,Indira Guadalupe Montez Alcaraz,brivera@club.com,a076e80e-95f4-4b8d-8e0e-af032fd3e7e3
11/25/2024,Medellín,Auriculares-Con cable-16GB,1061.61,1,1061.61,Lic. Luz de la Garza,esparta94@gmail.com,b76b9aa0-31e3-4e6d-905f-d7fc227d629a
19/12/2024,Cali,Tablet-Pro-4GB,2440.84,5,12204.2,Sr(a). Karla Mateo,reynaldo65@esparza.com,fde0973c-ba07-4b7c-b196-f9743e17466a
10/21/2024,Monterrey  ,Teléfono-Gama baja-16GB,121.68,2,243.36,Abril Julio T√≥rrez Segovia,xsaenz@hotmail.com,0281b754-3298-47cb-85b3-b7e7a8c57bab
"Nov 30, 2024",Guadalajara,Tablet-Pro-32GB,1109.64,3,,Ing. Esteban Curiel,juliavergara@barraza.info,6d6dc8da-1c46-48a9-9864-d6731b144bc7
12/05/2024,Guadalajara,Tablet-Mini-32GB,2246.48,1,2246.48,Hilda M√≥nica Acu√±a Zedillo,lhidalgo@yahoo.com,6d865eac-7ee1-4c9f-bf09-98a0163a585b
22/10/2024,Bogotá,Auriculares-Cancelación de ruido-4GB,129.07,4,516.28,Iv√°n Sanches Vallejo,reinaenriquez@sarabia-badillo.com,166ba421-1a83-493d-b4f5-5832605721e4
